Dataset,Model,Variant,Recall10,NDCG10,TailNDCG,TailHead,RelLow,RelHigh,NicheNDCG,NicheRatio
ML-1M,VBPR,MM,0.1225,0.1863,0.0014,0.0072,0.0605,0.1682,0.1116,0.5270
ML-1M,VBPR,ID,0.1455,0.2134,0.0012,0.0053,0.0709,0.1922,0.0760,0.4545
ML-1M,LATTICE,MM,0.1317,0.1991,0.0006,0.0028,0.0608,0.1831,0.0980,0.4936
ML-1M,LATTICE,ID,0.1432,0.2098,0.0005,0.0022,0.0655,0.1935,0.0604,0.4347
ML-1M,MMGCN,MM,0.1112,0.1707,0.0000,0.0002,0.0509,0.1576,0.1054,0.5186
ML-1M,MMGCN,ID,0.1243,0.1887,0.0001,0.0005,0.0582,0.1730,0.0685,0.5174
ML-1M,SLMRec,MM,0.1411,0.1830,0.0172,0.0977,0.0718,0.1620,0.1648,0.9260
ML-1M,SLMRec,ID,0.1359,0.1678,0.0179,0.1148,0.0707,0.1464,0.1033,0.7165
ML-1M,FREEDOM,MM,0.1419,0.2093,0.0004,0.0017,0.0661,0.1912,0.1027,0.5142
ML-1M,FREEDOM,ID,0.1328,0.1995,0.0006,0.0028,0.0622,0.1822,0.0999,0.5081
LFM-2K,VBPR,MM,0.2128,0.1754,0.0138,0.0682,0.1099,0.2295,0.0615,0.3599
LFM-2K,VBPR,ID,0.1999,0.1695,0.0056,0.0279,0.1028,0.2210,0.0025,0.3377
LFM-2K,LATTICE,MM,0.2179,0.1804,0.0063,0.0294,0.1141,0.2213,0.0784,0.4322
LFM-2K,LATTICE,ID,0.2237,0.1858,0.0067,0.0309,0.1156,0.2372,0.0095,0.3838
LFM-2K,MMGCN,MM,0.1872,0.1614,0.0012,0.0064,0.0953,0.2147,0.0493,0.2779
LFM-2K,MMGCN,ID,0.1623,0.1308,0.0012,0.0077,0.0823,0.1693,0.0289,0.2257
LFM-2K,SLMRec,MM,0.2345,0.1977,0.0417,0.2018,0.1157,0.2576,0.1354,0.7067
LFM-2K,SLMRec,ID,0.2140,0.1766,0.0286,0.1549,0.1031,0.2269,0.0022,0.4505
LFM-2K,FREEDOM,MM,0.2225,0.1849,0.0046,0.0215,0.1125,0.2349,0.0720,0.3767
LFM-2K,FREEDOM,ID,0.2017,0.1688,0.0033,0.0168,0.1044,0.2170,0.0702,0.3746
DBbook,VBPR,MM,0.0901,0.0624,0.0026,0.0351,0.0000,0.0624,0.0408,0.8139
DBbook,VBPR,ID,0.1188,0.0855,0.0018,0.0173,0.0000,0.0855,0.0022,1.1807
DBbook,LATTICE,MM,0.0880,0.0653,0.0056,0.0741,0.0000,0.0653,0.0428,0.8288
DBbook,LATTICE,ID,0.0827,0.0588,0.0004,0.0057,0.0000,0.0588,0.0377,0.8727
DBbook,MMGCN,MM,0.0830,0.0571,0.0011,0.0161,0.0000,0.0571,0.0379,0.7636
DBbook,MMGCN,ID,0.0746,0.0501,0.0008,0.0129,0.0000,0.0501,0.0262,0.8363
DBbook,SLMRec,MM,0.1859,0.1430,0.0116,0.0709,0.0000,0.1430,0.1142,0.8956
DBbook,SLMRec,ID,0.1643,0.1272,0.0064,0.0432,0.0000,0.1272,0.0220,0.6284
DBbook,FREEDOM,MM,0.1237,0.0874,0.0029,0.0284,0.0000,0.0874,0.0441,0.7939
DBbook,FREEDOM,ID,0.0811,0.0546,0.0027,0.0413,0.0000,0.0546,0.0341,0.7846
