Dataset,Model,Variant,PopHead,PopMid,PopTail,PopTailHead,RelLow,RelMedium,RelHigh,Gap,Var,ExpHead,ExpMid,ExpTail,ExpTailHead
ML-1M,VBPR,MM,0.1912,0.0074,0.0014,0.0072,0.0605,0.0000,0.1682,4.3872,4.1541,4.3959,0.1389,0.0088,0.0020
ML-1M,VBPR,ID,0.2191,0.0106,0.0012,0.0053,0.0709,0.0000,0.1922,4.4141,4.2226,4.4199,0.1179,0.0058,0.0013
ML-1M,LATTICE,MM,0.2065,0.0042,0.0006,0.0028,0.0608,0.0000,0.1831,4.4866,4.4283,4.4904,0.0494,0.0038,0.0008
ML-1M,LATTICE,ID,0.2197,0.0016,0.0005,0.0022,0.0655,0.0000,0.1935,4.5213,4.5321,4.5252,0.0145,0.0039,0.0009
ML-1M,MMGCN,MM,0.1770,0.0026,0.0000,0.0002,0.0509,0.0000,0.1576,4.4906,4.4413,4.4948,0.0445,0.0042,0.0009
ML-1M,MMGCN,ID,0.1961,0.0029,0.0001,0.0005,0.0582,0.0000,0.1730,4.5009,4.4640,4.5024,0.0397,0.0015,0.0003
ML-1M,SLMRec,MM,0.1757,0.0308,0.0172,0.0977,0.0718,0.0000,0.1620,3.4788,2.4779,3.7339,0.5545,0.2552,0.0683
ML-1M,SLMRec,ID,0.1559,0.0423,0.0179,0.1148,0.0707,0.0000,0.1464,3.1665,1.8906,3.4290,0.2625,0.8521,0.2485
ML-1M,FREEDOM,MM,0.2162,0.0070,0.0004,0.0017,0.0661,0.0000,0.1912,4.4578,4.3428,4.4613,0.0787,0.0035,0.0008
ML-1M,FREEDOM,ID,0.2061,0.0060,0.0006,0.0028,0.0622,0.0000,0.1822,4.4635,4.3610,4.4676,0.0719,0.0041,0.0009
LFM-2K,VBPR,MM,0.2022,0.0200,0.0138,0.0682,0.1099,0.1203,0.2295,3.9904,3.4188,4.1282,0.2776,0.1378,0.0334
LFM-2K,VBPR,ID,0.1998,0.0128,0.0056,0.0279,0.1028,0.1194,0.2210,4.3529,4.1858,4.4079,0.0807,0.0550,0.0125
LFM-2K,LATTICE,MM,0.2126,0.0129,0.0063,0.0294,0.1141,0.1314,0.2213,4.3385,4.1375,4.3910,0.1000,0.0526,0.0120
LFM-2K,LATTICE,ID,0.2171,0.0154,0.0067,0.0309,0.1156,0.1316,0.2372,4.3501,4.1627,4.3998,0.0941,0.0497,0.0113
LFM-2K,MMGCN,MM,0.1898,0.0119,0.0012,0.0064,0.0953,0.1108,0.2147,4.4134,4.2640,0.0879,4.4345,0.0212,0.2410
LFM-2K,MMGCN,ID,0.1530,0.0092,0.0012,0.0077,0.0823,0.0924,0.1693,4.3524,4.1359,4.3902,0.1154,0.0379,0.0086
LFM-2K,SLMRec,MM,0.2066,0.0802,0.0417,0.2018,0.1157,0.1325,0.2576,2.9307,1.6886,0.7974,3.3384,0.4078,0.5114
LFM-2K,SLMRec,ID,0.1844,0.0687,0.0286,0.1549,0.1031,0.1270,0.2269,2.8753,1.6280,3.3058,0.8072,0.4306,0.1302
LFM-2K,FREEDOM,MM,0.2157,0.0239,0.0046,0.0215,0.1125,0.1334,0.2349,4.2778,3.9786,4.3349,0.1517,0.0571,0.0132
LFM-2K,FREEDOM,ID,0.1985,0.0163,0.0033,0.0168,0.1044,0.1169,0.2170,4.4117,4.2553,4.4315,0.0922,0.0198,0.0045
DBbook,VBPR,MM,0.0736,0.0038,0.0026,0.0351,0.0000,0.0000,0.0624,4.1256,3.7700,4.2604,0.1483,0.1348,0.0316
DBbook,VBPR,ID,0.1028,0.0047,0.0018,0.0173,0.0000,0.0000,0.0855,4.4590,4.4099,4.4843,0.0253,0.0340,0.0076
DBbook,LATTICE,MM,0.0756,0.0079,0.0056,0.0741,0.0000,0.0000,0.0653,4.1046,3.7427,0.1472,4.2505,0.1458,0.9905
DBbook,LATTICE,ID,0.0705,0.0005,0.0004,0.0057,0.0000,0.0000,0.0588,4.4779,4.4547,4.4994,0.0215,0.0227,0.0050
DBbook,MMGCN,MM,0.0680,0.0025,0.0011,0.0161,0.0000,0.0000,0.0571,4.2547,4.0083,4.3459,0.1065,0.0912,0.0210
DBbook,MMGCN,ID,0.0600,0.0020,0.0008,0.0129,0.0000,0.0000,0.0501,4.4834,4.4591,4.5008,0.0175,0.0252,0.0056
DBbook,SLMRec,MM,0.1642,0.0351,0.0116,0.0709,0.0000,0.0000,0.1430,4.0628,3.5150,4.1640,0.2785,0.1011,0.0243
DBbook,SLMRec,ID,0.1472,0.0298,0.0064,0.0432,0.0000,0.0000,0.1272,4.1352,3.6365,4.2092,0.2603,0.0740,0.0176
DBbook,FREEDOM,MM,0.1034,0.0077,0.0029,0.0284,0.0000,0.0000,0.0874,4.4293,4.3269,4.4562,0.0605,0.0269,0.0060
DBbook,FREEDOM,ID,0.0649,0.0033,0.0027,0.0413,0.0000,0.0000,0.0546,4.4786,4.4566,4.5000,0.0214,0.0221,0.0049
